"subregion","region","pop","income","ufo2010","ufo2pop"
"autauga","alabama",55514,53899,2,3.60269481572216e-05
"baldwin","alabama",190790,51321,12,6.28963782168877e-05
"barbour","alabama",27201,34041,0,0
"bibb","alabama",22597,40506,1,4.42536619905297e-05
"blount","alabama",57826,45404,0,0
"bullock","alabama",10474,31955,0,0
"butler","alabama",20307,31273,0,0
"calhoun","alabama",117296,39467,9,7.67289592142955e-05
"chambers","alabama",34064,32186,0,0
"cherokee","alabama",26021,37833,1,3.84304984435648e-05
"chilton","alabama",43819,40418,1,2.28211506424154e-05
"choctaw","alabama",13633,32188,0,0
"clarke","alabama",25161,29668,1,3.97440483287628e-05
"clay","alabama",13435,35410,0,0
"cleburne","alabama",14832,38785,0,0
"coffee","alabama",51252,42065,4,7.80457348005931e-05
"colbert","alabama",54446,40247,1,1.83668221724277e-05
"conecuh","alabama",12981,27977,0,0
"coosa","alabama",10966,37191,0,0
"covington","alabama",37955,33544,5,0.000131734949282045
"crenshaw","alabama",14083,38041,1,7.1007597812966e-05
"cullman","alabama",80440,38703,11,0.00013674788662357
"dale","alabama",50444,45491,2,3.96479264134486e-05
"dallas","alabama",42864,26909,0,0
"de kalb","alabama",71080,36853,4,5.6274620146314e-05
"elmore","alabama",80629,54831,5,6.2012427290429e-05
"escambia","alabama",37994,31638,1,2.63199452545139e-05
"etowah","alabama",104392,37772,9,8.62135029504177e-05
"fayette","alabama",16983,33378,1,5.88824118235883e-05
"franklin","alabama",31761,35831,0,0
"geneva","alabama",26931,35237,0,0
"greene","alabama",8876,23004,0,0
"hale","alabama",15388,29236,0,0
"henry","alabama",17287,39948,2,0.000115693874009371
"houston","alabama",103402,41766,9,8.70389354171099e-05
"jackson","alabama",53019,36383,4,7.54446519172372e-05
"jefferson","alabama",660009,45750,40,6.06052341710492e-05
"lamar","alabama",14259,34711,0,0
"lauderdale","alabama",92542,39702,5,5.40295217306736e-05
"lawrence","alabama",33838,40009,4,0.000118210296116792
"lee","alabama",147257,42320,10,6.79084865235608e-05
"limestone","alabama",87654,47199,20,0.000228169849636069
"lowndes","alabama",10857,27905,1,9.21064750851985e-05
"macon","alabama",20535,29355,0,0
"madison","alabama",343080,57453,25,7.28693016206133e-05
"marengo","alabama",20401,35165,0,0
"marion","alabama",30327,31799,1,3.29739176311538e-05
"marshall","alabama",94776,38563,6,6.33071663712332e-05
"mobile","alabama",413936,42187,10,2.41583239921147e-05
"monroe","alabama",22602,29849,0,0
"montgomery","alabama",230149,44587,11,4.77951240283469e-05
"morgan","alabama",120395,45564,1,8.30599277378629e-06
"perry","alabama",10181,27222,0,0
"pickens","alabama",19405,29096,0,0
"pike","alabama",33182,31179,1,3.01368211681032e-05
"randolph","alabama",22675,35823,0,0
"russell","alabama",57820,33754,2,3.45901072293324e-05
"shelby","alabama",200941,68883,7,3.48360961675318e-05
