"subregion","region","pop","high","college","income","poppermile","establishments","employees","ipaddr"
"abbeville","south carolina",25101,77.1,13.9,34670,51.8,334,4119,30330
"acadia","louisiana",61912,70.9,10.6,37970,94.3,1130,12449,38203
"accomack","virginia",33341,78.4,17.4,41595,73.8,786,9030,41338
"ada","idaho",409061,93.1,35.2,55304,372.8,11898,164701,1035427
"adair","iowa",7481,90.9,14.3,47623,13.5,178,1635,3762
"adair","kentucky",18675,71.2,13.3,31775,46,312,4234,14303
"adair","missouri",25581,87.3,27.1,33157,45.1,654,8532,75347
"adair","oklahoma",22286,76.3,11.2,31038,39.6,211,2834,4543
"adams","colorado",459598,81.5,20.7,56089,378.2,8146,131739,3206226
"adams","idaho",3915,86.2,19.5,36845,2.9,125,435,1916
"adams","illinois",67197,89.9,21.2,45792,78.5,1815,29913,50969
"adams","indiana",34365,84,13.3,46549,101.4,721,11472,30418
"adams","iowa",3911,89.9,17.2,44389,9.5,116,846,2678
"adams","mississippi",32122,79.6,18.2,26784,69.8,815,10170,12892
"adams","nebraska",31459,89.4,22.4,47469,55.7,953,12845,27319
"adams","north dakota",2311,89.9,21.4,40236,2.4,104,801,637
"adams","ohio",28350,76.9,10.9,34232,48.9,367,4109,7657
"adams","pennsylvania",101482,85.2,18.8,57097,195.5,1884,27901,100026
"adams","washington",19005,67.5,12.5,41219,9.7,359,4340,12294
"adams","wisconsin",20679,85.2,11.2,41152,32.3,329,3274,19004
"addison","vermont",36745,90.8,34.6,57203,48,1152,12307,86406
"aiken","south carolina",162812,84.4,23.7,43999,149.5,2693,48010,131261
"aitkin","minnesota",15927,89.4,15.1,41301,8.9,399,2979,8493
"alachua","florida",251417,90.3,41.1,41373,282.7,5733,80828,413659
"alamance","north carolina",153920,81.4,21.6,44430,356.5,3153,50394,240090
"alameda","california",1554720,86,40.8,70821,2043.6,35921,567151,5394949
"alamosa","colorado",16148,87.1,24.7,38299,21.4,495,5390,15963
"albany","new york",305455,91.1,37.8,57715,581.9,9436,168868,1655552
"albany","wyoming",37276,95,48,45760,8.5,1001,9890,102104
"albemarle","virginia",102251,90.4,51.8,65934,137.3,2446,36528,329865
"alcona","michigan",10635,85.9,12.8,35490,16.2,185,1073,2296
"alcorn","mississippi",37164,77.7,15.3,32221,92.6,779,11325,17397
"alexander","illinois",7748,75.8,7.9,27727,35,114,1209,636
"alexander","north carolina",36853,77.3,11.3,40658,143.1,591,6710,9693
"alfalfa","oklahoma",5666,84,18.4,42730,6.5,127,780,2807
"alger","michigan",9541,86.5,17.1,38231,10.5,244,1716,10594
"allamakee","iowa",14237,87.6,15.3,47096,22.4,411,4265,7410
"allegan","michigan",112039,89.4,20.1,51232,135,2230,32394,112279
"allegany","maryland",74012,86.4,15.9,39408,177,1647,24485,6186
"allegany","new york",48357,87.9,17.4,41900,47.6,793,12128,160094
"alleghany","north carolina",10927,73.3,15.9,32478,47.5,251,2158,6114
"alleghany","virginia",16230,82.7,15.3,44329,36.5,231,2284,11724
"allegheny","pennsylvania",1229338,92,34.5,49805,1675.6,33339,679125,3764776
"allen","indiana",360412,88.9,26.3,49767,540.6,8943,159289,479007
"allen","kansas",13319,89.3,16.6,40275,26.7,377,4697,26075
"allen","kentucky",20210,74,10.9,35357,58,237,3127,5609
"allen","louisiana",25539,73.2,9.1,39007,33.8,335,3873,5742
"allen","ohio",105141,87.5,15.7,43323,264.2,2516,46301,68896
"allendale","south carolina",9988,72,13.4,22982,25.5,127,1487,1336
"alpena","michigan",29234,88.1,15.4,38081,51.8,796,9600,15898
"alpine","california",1129,92,32,59018,1.6,46,711,644
"amador","california",37035,87.3,18.8,56180,64.1,750,7646,15510
"amelia","virginia",12759,78.8,13.7,51540,35.7,271,1868,7121
"amherst","virginia",32384,79.9,16.2,44383,68.3,591,6632,19526
"amite","mississippi",12957,75.1,9.4,31402,18,169,1218,1927
"anderson","kansas",7917,86.6,14.7,40753,14,211,1510,3190
"anderson","kentucky",21728,86.6,18.4,52447,106.1,330,3233,10148
"anderson","south carolina",189355,80.7,18.1,42854,261.6,3622,51091,181578
"anderson","tennessee",75416,83.9,21.4,44872,222.8,1571,43143,324808
"anderson","texas",58190,78.7,11.5,40577,55,938,11415,41981
"andrew","missouri",17417,89.7,19.8,54148,40,342,1737,4710
"andrews","texas",16117,73.1,13.9,51598,9.9,345,4577,8184
"androscoggin","maine",107609,87,18.6,45699,230.2,2749,43155,147043
"angelina","texas",87597,77.8,15.6,39325,108.8,1862,29843,40444
"anne arundel","maryland",550488,90.4,36.3,85690,1295.9,13370,203465,891594
"anoka","minnesota",336414,93.1,25.8,69139,782.1,7207,105135,302309
"anson","north carolina",26351,76.8,8.4,34659,50.7,389,4334,6125
"antelope","nebraska",6545,91.5,15.5,40474,7.8,219,1396,2419
"antrim","michigan",23406,90,23.4,42440,49.6,553,3529,13125
"apache","arizona",73195,73.1,10.1,31011,6.4,467,7219,45388
"appanoose","iowa",12700,86.5,15.3,35230,25.9,327,3436,5866
"appling","georgia",18368,75.1,9.3,34989,36,382,5359,12301
"appomattox","virginia",15128,80.1,13.9,47992,44.9,282,2355,3250
"aransas","texas",23818,86.7,23,44129,91.9,475,3977,0
"arapahoe","colorado",595546,90.6,38.3,59937,716.7,16789,239377,9184255
"archer","texas",8735,85,18.8,53113,10,195,1444,11627
"archuleta","colorado",12070,92.1,33.5,60170,8.9,459,2594,12762
"arenac","michigan",15477,81.1,10.8,36281,43.8,339,2961,4205
"arkansas","arkansas",18892,80.8,13,38986,19.2,542,8452,9733
"arlington","virginia",221045,92.6,70.7,99651,7993.6,6101,134091,580164
"armstrong","pennsylvania",68409,88.2,13.8,44663,105.5,1245,13144,50161
"armstrong","texas",1944,91.4,25.2,56538,2.1,29,184,0
"aroostook","maine",70868,84.2,16.4,37138,10.8,2005,22038,51221
"arthur","nebraska",486,95.2,21.9,43194,0.6,12,67,0
"ascension","louisiana",112286,87.4,22.8,66173,369.7,1986,31087,88428
"ashe","north carolina",27097,78.6,17.7,36498,64,520,6095,19012
"ashland","ohio",52962,86.4,18.4,45641,125.6,1018,15391,38079
"ashland","wisconsin",15992,90.8,22.6,37900,15.5,542,6506,10760
"ashley","arkansas",21524,81.6,12.5,35657,23.6,440,7332,11132
"ashtabula","ohio",100389,84.9,13.1,41501,144.6,1996,24659,65007
"asotin","washington",21888,88.7,15.9,41993,34,432,4374,10569
"assumption","louisiana",23026,70.4,8.1,46699,69.2,254,2644,22826
"atascosa","texas",46446,75.2,12.1,43261,36.8,626,6788,18571
"atchison","kansas",16813,88.8,21.4,44433,39.3,360,5724,9232
"atchison","missouri",5517,88.2,21.7,44330,10.4,211,1314,4941
"athens","ohio",64304,87.1,28.4,33546,128.6,1071,12759,107074
"atkinson","georgia",8284,64.9,8.3,32814,24.7,87,981,2293
"atlantic","new jersey",275422,84.2,23.2,55222,494.1,6408,111036,370037
"atoka","oklahoma",14007,80.5,15,33919,14.5,249,2030,4093
"attala","mississippi",19157,70.4,16.2,29805,26.6,341,4762,15992
"audrain","missouri",25621,82.9,14.4,41567,36.9,574,6996,10426
"audubon","iowa",5910,87.9,15,41840,13.8,186,1189,3331
"auglaize","ohio",45831,90.3,16.1,52838,114.5,960,17371,50183
"augusta","virginia",73658,84.3,19.1,51719,76.3,1373,18789,255824
"aurora","south dakota",2742,89.2,13.9,46205,3.8,89,572,127
"austin","texas",28618,82.7,19.4,52510,44,572,8536,22301
"autauga","alabama",55514,86.5,21.6,53899,91.8,835,10290,23597
"avery","north carolina",17635,81.5,19.3,37985,72,508,4317,79344
"avoyelles","louisiana",41632,70.2,9.6,32321,50.5,735,8689,22594
"baca","colorado",3751,85.7,17.5,37111,1.5,87,602,538
"bacon","georgia",11198,71.9,8,32065,42.9,217,2500,9161
"bailey","texas",7130,71.7,19.1,41106,8.7,159,1416,9395
"baker","florida",27086,78.4,7.4,47041,46.3,369,5199,20832
"baker","georgia",3366,81.3,9.7,27255,10.1,25,241,127
"baker","oregon",15909,88.4,19.8,40989,5.3,519,3885,10362
"baldwin","alabama",190790,87.9,27.2,51321,114.6,4624,51386,106494
"baldwin","georgia",46367,81.3,19,36429,177.3,816,12844,48480
"ballard","kentucky",8333,82,11.8,41875,33.4,135,2065,9599
"baltimore","maryland",817455,89.2,35.2,65411,1345.5,19627,310726,919105
"baltimore city","maryland",621342,78.5,25.8,40100,7671.5,12089,271612,1832407
"bamberg","south carolina",15763,78.3,18,26697,40.6,281,3341,13816
"bandera","texas",20537,87.4,21.7,45595,25.9,359,2089,23248
"banks","georgia",18316,75.2,11.1,41397,79.3,278,3347,9305
"banner","nebraska",760,92.3,23.5,27167,0.9,6,NA,255
"bannock","idaho",83800,90.8,27,45347,74.5,1945,23563,131733
"baraga","michigan",8683,82.6,11.3,40115,9.9,201,1741,17641
"barber","kansas",4861,92,20,41677,4.3,217,1340,8946
"barbour","alabama",27201,72.4,13.9,34041,31,501,7572,9951
"barbour","west virginia",16493,79.2,12.7,33158,48.6,239,2768,6719
"barnes","north dakota",11015,89.4,27.4,43730,7.4,366,4188,8326
"barnstable","massachusetts",215423,94.9,40.5,60525,548.3,8116,68452,174821
"barnwell","south carolina",22212,78,10.8,34546,41.2,341,4870,13913
"barren","kentucky",42631,77.8,14.2,38616,86.5,881,13421,33232
"barron","wisconsin",45733,87.5,17.4,44806,53.2,1288,15979,37127
"barrow","georgia",70169,79.5,16.1,50604,432.7,1047,12865,52074
"barry","michigan",58990,90.6,16.9,52061,107,887,9268,50409
"barry","missouri",35546,80.8,13.2,38321,45.7,738,13142,37634
"bartholomew","indiana",79129,89,27.2,53692,188.7,1845,40314,203053
"barton","kansas",27557,85.6,19.6,44989,30.9,970,9585,17966
"barton","missouri",12337,85.4,14.8,39144,21,251,2425,6241
"bartow","georgia",100661,79.5,16.7,49060,217.9,1823,27488,56000
"bastrop","texas",74763,81.1,16.8,52882,83.5,1038,11436,45981
"bates","missouri",16709,82.8,10.4,38966,20.4,345,2752,9434
"bath","kentucky",11802,72.5,13.3,28776,41.6,129,1010,2166
"bath","virginia",4652,81.2,13.3,52500,8.9,128,1827,3152
"baxter","arkansas",41048,85.3,14.9,35589,74.9,1072,12561,29655
"bay","florida",171903,87.1,21,48225,222.6,4374,55989,73294
"bay","michigan",106935,88.2,18.3,45962,243.7,2254,30165,183583
"bayfield","wisconsin",15099,92.8,26.7,44190,10.2,429,2190,7438
"baylor","texas",3623,86.2,23.5,37159,4.3,114,952,2041
"beadle","south dakota",17753,83.7,19.4,40455,13.8,572,6970,10236
"bear lake","idaho",5907,90.8,16.6,43897,6.1,123,988,1914
"beaufort","north carolina",47507,81.7,19.1,40986,57.7,1149,13456,38306
"beaufort","south carolina",168049,90.6,37.5,57133,281.5,4673,46242,94865
"beauregard","louisiana",36281,83.7,14.8,45113,30.8,581,6719,13200
"beaver","oklahoma",5591,82.1,18,47386,3.1,181,1249,3327
"beaver","pennsylvania",170245,90.1,20.3,47928,392.3,3404,49086,96949
"beaver","utah",6501,90.6,10.5,43225,2.6,161,1371,4990
"beaverhead","montana",9346,92.8,30.9,41226,1.7,355,2213,7100
"becker","minnesota",33000,90,21.4,47959,24.7,955,11146,27415
"beckham","oklahoma",23081,80.9,15.2,45726,24.5,836,9593,15484
"bedford","pennsylvania",49324,84,12,40710,49.2,1078,12890,22124
"bedford","tennessee",45573,75.6,12.7,39480,95.1,751,11921,30871
"bedford","virginia",69590,85.6,24.8,56021,91.2,1366,12049,57873
"bee","texas",32527,71.2,8.7,39247,36.2,449,5106,11489
"belknap","new hampshire",60327,89.8,28.2,56921,150.1,1788,20765,30217
"bell","kentucky",28183,65.1,11.2,25269,79.9,542,7270,7935
"bell","texas",323037,88.4,20.9,49466,295.2,4772,82286,318587
"belmont","ohio",69671,87,13.5,39712,132.3,1497,19127,35329
"beltrami","minnesota",45375,89.2,29.1,43989,17.7,1147,13747,36392
"ben hill","georgia",17538,73.2,12.3,31943,70.5,335,4978,18131
"benewah","idaho",9117,87.6,12.1,37508,12,232,2182,8484
"bennett","south dakota",3436,80.7,15.6,34500,2.9,67,657,127
"bennington","vermont",36697,89.8,31.8,48083,55,1439,14433,25235
"benson","north dakota",6760,80.7,10.6,32149,4.8,102,1079,3824
"bent","colorado",5773,78.4,11.3,35667,4.3,61,582,2054
"benton","arkansas",232268,85,27.6,52159,261.2,5289,101258,1957565
"benton","indiana",8804,89.2,15.1,47240,21.8,204,1458,3072
"benton","iowa",25827,92.2,17.8,55810,36.4,564,4243,10109
"benton","minnesota",38865,90.1,18.8,51159,94.2,897,14440,26992
"benton","mississippi",8730,72.7,9.5,28666,21.5,60,990,1295
"benton","missouri",18962,81,12.4,34512,27.1,380,2177,15247
"benton","oregon",86430,94.2,47.4,47716,126.6,2003,25118,231659
"benton","tennessee",16361,77,11.4,34152,41.8,294,3226,10634
"benton","washington",182398,88.2,27.7,59974,103,3919,59670,440014
"benzie","michigan",17465,90.2,25.2,47017,54.8,425,2304,4606
"bergen","new jersey",918888,91,45.1,83443,3884.5,30997,412514,2762728
"berkeley","south carolina",189781,86,19.2,51093,161.8,2607,37558,200561
"berkeley","west virginia",107098,84.9,19.4,52504,324.4,1562,20968,65036
"berks","pennsylvania",413491,83.8,22.1,54823,480.4,8177,144686,414882
"berkshire","massachusetts",130016,90.7,30.2,48705,141.6,3985,53110,209982
"bernalillo","new mexico",673460,86.6,31.6,48231,570.8,15756,239337,1478442
"berrien","georgia",19041,72.2,11.3,32512,42.7,278,2927,11225
"berrien","michigan",156067,86.7,23.7,42488,276.2,3623,51085,290688
"bertie","north carolina",20653,73.5,10.8,29326,30.4,342,5132,15198
"bexar","texas",1785704,81.7,25.6,48083,1383.1,32612,640651,3036661
"bibb","alabama",22597,75.9,9.8,40506,36.8,285,2980,6293
"bibb","georgia",156462,81.5,22.6,37975,622.8,4179,70595,189696
"bienville","louisiana",14076,79.5,13.6,30594,17.7,241,3184,3706
"big horn","montana",13061,83.4,13.8,37277,2.6,221,2267,4983
"big horn","wyoming",11794,89.5,19,52597,3.7,299,2594,7394
"big stone","minnesota",5164,89.4,16.8,44438,10.6,178,1587,1417
"billings","north dakota",905,91,21.7,53846,0.7,53,224,765
"bingham","idaho",45474,84.7,16.2,46169,21.8,796,9602,11283
"black hawk","iowa",131820,89.2,25.2,44567,231.7,3200,64875,228041
"blackford","indiana",12502,86.4,10.5,40214,77.3,246,2757,3650
"bladen","north carolina",34915,75.2,9.5,30273,40.2,532,10680,9148
"blaine","idaho",21146,90.7,45.1,62906,8.1,1344,9932,30821
"blaine","montana",6683,86.9,17.6,38721,1.5,148,1078,68704
"blaine","nebraska",514,96.7,14.3,39688,0.7,9,NA,0
"blaine","oklahoma",9785,81.2,15.9,41306,12.9,289,2204,4119
"blair","pennsylvania",127121,90,17.3,43243,241.7,3200,50360,87186
"blanco","texas",10655,87.7,26.8,46457,14.8,235,1718,22279
"bland","virginia",6738,81.3,10.8,42864,19.1,79,1192,826
"bleckley","georgia",12913,75.3,12.3,35997,60.5,164,2175,7570
"bledsoe","tennessee",12792,72.6,9,35137,31.7,94,476,3959
"blount","alabama",57826,73.2,11.3,45404,88.9,690,6345,32048
"blount","tennessee",124177,85.9,20.5,47298,220.2,2239,38247,120229
"blue earth","minnesota",65091,93.1,29.6,48911,85.6,1919,34283,123563
"boise","idaho",6835,87.1,19.9,47128,3.7,141,490,1901
"bolivar","mississippi",33904,71.8,19.5,27173,39,708,8266,22595
"bollinger","missouri",12382,77.4,9.7,36119,20,192,1301,2634
"bon homme","south dakota",7029,85.4,17.5,43456,12.5,174,1353,11403
"bond","illinois",17644,88.4,22.8,50672,46.7,313,3695,14957
"bonner","idaho",40476,91,22.3,42989,23.6,1429,10968,29725
"bonneville","idaho",106684,91.3,26.7,51311,55.9,3189,42828,204874
"boone","arkansas",37327,84.7,14.2,37703,62.5,852,12387,27062
"boone","illinois",53940,85.5,19.8,61613,193,850,12250,31074
"boone","indiana",58944,93.3,39.4,68284,133.9,1368,16984,43749
"boone","iowa",26195,92.2,20.5,51582,46,570,6642,9327
"boone","kentucky",123316,91,28.8,68087,482.3,2834,62816,89077
"boone","missouri",168535,92.4,45.9,47123,237.3,4376,66808,553028
"boone","nebraska",5417,92.1,12.8,41691,8,194,1606,3950
"boone","west virginia",24478,72.2,8,41359,49.1,318,6857,11196
"borden","texas",616,87,23.5,59643,0.7,3,NA,127
"bosque","texas",18125,80.8,14.5,44744,18.5,289,2713,13902
"bossier","louisiana",122197,87.6,22.8,51771,139.3,2430,36106,53513
"botetourt","virginia",33154,89.5,22.9,65633,61.2,727,9198,23711
"bottineau","north dakota",6579,85.7,22.5,44399,3.9,272,1964,3317
"boulder","colorado",305318,93.7,57.7,66479,405.6,11419,131872,1407355
"boundary","idaho",10808,82.3,11.9,35324,8.6,350,2234,7216
"bourbon","kansas",14897,88.2,21.5,39843,23.9,372,4726,8045
"bourbon","kentucky",19978,82.5,16,42192,69,371,5865,6667
"bowie","texas",93148,84.6,18.5,43210,104.6,2146,30875,36248
"bowman","north dakota",3202,87.9,20.3,50487,2.7,152,1123,2421
"box butte","nebraska",11317,89.2,21.1,44118,10.5,314,2980,10232
"box elder","utah",50171,90.6,22.5,55588,8.7,987,15277,39421
"boyd","kentucky",49164,84.9,15.6,38848,309.9,1350,24034,44665
"boyd","nebraska",2054,89,13.7,37375,3.9,73,368,1147
"boyle","kentucky",28658,84.9,23.3,41035,157.8,742,13609,20351
"bracken","kentucky",8494,75.3,13.2,39643,41.3,101,815,3430
"bradford","florida",27049,74.4,8.8,41397,97,438,4242,11415
"bradford","pennsylvania",62792,85.5,16.5,42433,54.6,1440,19511,40423
"bradley","arkansas",11397,73.8,11.4,32337,17.7,262,2556,3943
"bradley","tennessee",101134,80.2,18.4,40541,301,1842,35729,67288
"branch","michigan",43868,86.4,14.1,42505,89.4,799,10632,24229
"brantley","georgia",18587,76.9,4.6,38374,41.6,180,1217,6384
"braxton","west virginia",14468,74,10.1,31686,28.4,269,2991,2943
"brazoria","texas",324769,84.9,26.5,67018,230.7,4848,72007,238077
"brazos","texas",200665,84.8,39,37161,332.8,3747,54027,339911
"breathitt","kentucky",13635,64.8,10.6,22304,28.2,226,2348,1786
"breckinridge","kentucky",20071,76.7,8.1,38325,35.4,290,2264,6019
"bremer","iowa",24479,93.5,27.4,58372,55.7,612,8192,14542
"brevard","florida",547307,90.3,26.4,50068,535,12746,166490,827563
