subregion,region,pop,high,college,income,poppermile,establishments,employees
autauga,alabama,55514,86.5,21.6,53899,91.8,835,10290
baldwin,alabama,190790,87.9,27.2,51321,114.6,4624,51386
barbour,alabama,27201,72.4,13.9,34041,31,501,7572
bibb,alabama,22597,75.9,9.8,40506,36.8,285,2980
blount,alabama,57826,73.2,11.3,45404,88.9,690,6345
bullock,alabama,10474,72,14.4,31955,17.5,113,
butler,alabama,20307,74.7,12.4,31273,27,411,5354
calhoun,alabama,117296,77.9,15.8,39467,195.7,2333,36093
chambers,alabama,34064,74.2,10.5,32186,57.4,557,6419
cherokee,alabama,26021,73.5,11.3,37833,46.9,351,3590
chilton,alabama,43819,74.8,12.4,40418,63,709,6644
choctaw,alabama,13633,73.6,10.5,32188,15.2,264,2754
clarke,alabama,25161,78.1,13.2,29668,20.9,601,6430
clay,alabama,13435,72.8,9.1,35410,23.1,184,3001
cleburne,alabama,14832,73,9.4,38785,26.7,157,1567
coffee,alabama,51252,80.2,21.3,42065,73.6,953,12407
colbert,alabama,54446,80.8,17.4,40247,91.8,1257,18980
conecuh,alabama,12981,72.7,11.6,27977,15.6,212,2316
coosa,alabama,10966,76.2,9.5,37191,17.7,90,921
covington,alabama,37955,76.6,12.9,33544,36.6,864,10827
crenshaw,alabama,14083,76.1,11.6,38041,22.8,237,3280
cullman,alabama,80440,76.6,14.2,38703,109.4,1693,21195
dale,alabama,50444,83.1,17.6,45491,89.6,815,13631
dallas,alabama,42864,76.2,13.6,26909,44.8,785,10789
de kalb,alabama,71080,70.3,10.7,36853,91.5,1095,16549
elmore,alabama,80629,84.9,21.2,54831,128.2,1096,14103
escambia,alabama,37994,73.7,11.8,31638,40.5,747,9454
etowah,alabama,104392,81.7,15.3,37772,195.2,1979,28470
fayette,alabama,16983,74.6,10.9,33378,27.5,334,3656
franklin,alabama,31761,71.6,11.4,35831,50,549,9765
geneva,alabama,26931,74.6,10.3,35237,46.6,417,3884
greene,alabama,8876,73,10.6,23004,14,97,1102
hale,alabama,15388,71,10,29236,24.5,189,2151
henry,alabama,17287,76.4,14.8,39948,30.8,300,2739
houston,alabama,103402,82.9,18.8,41766,175.1,2746,43457
jackson,alabama,53019,74.4,13.5,36383,49.4,845,11683
jefferson,alabama,660009,86.7,29,45750,592.5,16278,313651
lamar,alabama,14259,76.3,9.4,34711,24.1,246,2758
lauderdale,alabama,92542,82.9,21.6,39702,138.8,1968,24479
