"region","subregion","count"
"alabama","autauga",23597
"alabama","baldwin",106494
"alabama","barbour",9951
"alabama","bibb",6293
"alabama","blount",32048
"alabama","bullock",2487
"alabama","butler",6451
"alabama","calhoun",366026
"alabama","chambers",29423
"alabama","cherokee",9218
"alabama","chilton",11551
"alabama","choctaw",6258
"alabama","clarke",9473
"alabama","clay",9387
"alabama","cleburne",4251
"alabama","coffee",55351
"alabama","colbert",25867
"alabama","conecuh",4030
"alabama","coosa",765
"alabama","covington",16263
"alabama","crenshaw",3526
"alabama","cullman",51680
"alabama","dale",46135
"alabama","dallas",8337
"alabama","de kalb",22958
"alabama","elmore",67040
"alabama","escambia",28660
"alabama","etowah",66760
"alabama","fayette",7916
"alabama","franklin",9413
"alabama","geneva",9419
"alabama","greene",1880
"alabama","hale",2672
"alabama","henry",10325
"alabama","houston",64957
"alabama","jackson",18571
"alabama","jefferson",1185426
"alabama","lamar",2288
"alabama","lauderdale",43300
"alabama","lawrence",8557
"alabama","lee",169312
"alabama","limestone",35388
"alabama","lowndes",4552
"alabama","macon",15253
"alabama","madison",3883554
"alabama","marengo",9016
"alabama","marion",21897
"alabama","marshall",43755
"alabama","mobile",221263
"alabama","monroe",16150
"alabama","montgomery",14726707
"alabama","morgan",84604
"alabama","perry",7788
"alabama","pickens",2689
"alabama","pike",16372
"alabama","randolph",9304
"alabama","russell",105713
"alabama","shelby",373793
"alabama","st clair",68710
"alabama","sumter",6417
"alabama","talladega",73588
"alabama","tallapoosa",17900
"alabama","tuscaloosa",179420
"alabama","walker",34176
"alabama","washington",8399
"alabama","wilcox",3572
"alabama","winston",8305
"arizona","apache",45388
"arizona","cochise",52489718
"arizona","coconino",147482
"arizona","gila",18097
"arizona","graham",27279
"arizona","greenlee",3741
"arizona","maricopa",7206185
"arizona","mohave",166115
"arizona","navajo",61587
"arizona","pima",1465763
"arizona","pinal",206930
"arizona","santa cruz",13178
"arizona","yavapai",110720
"arizona","yuma",99991
"arkansas","arkansas",9733
"arkansas","ashley",11132
"arkansas","baxter",29655
"arkansas","benton",1957565
"arkansas","boone",27062
"arkansas","bradley",3943
"arkansas","calhoun",4375
"arkansas","carroll",18504
"arkansas","chicot",2779
"arkansas","clark",18019
"arkansas","clay",1953
"arkansas","cleburne",13042
"arkansas","cleveland",4727
"arkansas","columbia",18359
"arkansas","conway",7756
"arkansas","craighead",125076
"arkansas","crawford",18441
"arkansas","crittenden",172030
"arkansas","cross",4991
"arkansas","dallas",4331
"arkansas","desha",3237
"arkansas","drew",13800
"arkansas","faulkner",230526
"arkansas","franklin",9197
"arkansas","fulton",4591
"arkansas","garland",80060
"arkansas","grant",11115
"arkansas","greene",22923
"arkansas","hempstead",9593
"arkansas","hot spring",25580
"arkansas","howard",1660
"arkansas","independence",14312
"arkansas","izard",12523
"arkansas","jackson",6261
"arkansas","jefferson",111250
"arkansas","johnson",14745
"arkansas","lafayette",2553
"arkansas","lawrence",4511
"arkansas","lee",1679
"arkansas","lincoln",641
"arkansas","little river",2955
"arkansas","logan",8792
"arkansas","lonoke",9581
"arkansas","madison",12539
"arkansas","marion",6796
"arkansas","miller",71697
"arkansas","mississippi",11434
"arkansas","monroe",3074
"arkansas","montgomery",2675
"arkansas","nevada",8
"arkansas","newton",1529
"arkansas","ouachita",16079
"arkansas","perry",2837
"arkansas","phillips",8592
"arkansas","pike",5858
"arkansas","poinsett",10632
"arkansas","polk",13461
"arkansas","pope",42038
"arkansas","prairie",1548
"arkansas","pulaski",999186
"arkansas","randolph",5535
"arkansas","saline",60208
"arkansas","scott",1544
"arkansas","searcy",3694
"arkansas","sebastian",136705
"arkansas","sevier",9565
"arkansas","sharp",16323
"arkansas","st francis",7674
"arkansas","stone",5367
"arkansas","union",14534
"arkansas","van buren",10094
"arkansas","washington",224707
"arkansas","white",37773
"arkansas","woodruff",808
"arkansas","yell",10454
"california","alameda",5394949
"california","alpine",644
"california","amador",15510
"california","butte",220316
"california","calaveras",35565
"california","colusa",8401
"california","contra costa",10964948
"california","del norte",8652
"california","el dorado",290594
"california","fresno",553119
"california","glenn",6147
"california","humboldt",139897
"california","imperial",118326
"california","inyo",4701
"california","kern",557822
"california","kings",76101
"california","lake",28713
"california","lassen",37438
"california","los angeles",15529242
"california","madera",67761
"california","marin",588838
"california","mariposa",13556
"california","mendocino",59305
"california","merced",225112
"california","modoc",5998
"california","mono",18757
"california","monterey",245895
"california","napa",100317
"california","nevada",75142
"california","orange",6481303
"california","placer",458975
"california","plumas",17947
"california","riverside",1783684
"california","sacramento",4212259
"california","san benito",28815
"california","san bernardino",1876414
"california","san diego",20133332
"california","san francisco",4716334
"california","san joaquin",589780
"california","san luis obispo",279694
"california","san mateo",4046698
"california","santa barbara",441086
"california","santa clara",71672091
"california","santa cruz",646460
"california","shasta",130187
"california","sierra",5439
"california","siskiyou",39753
"california","solano",243301
"california","sonoma",788673
"california","stanislaus",386642
"california","sutter",45527
"california","tehama",35065
"california","trinity",23239
"california","tulare",218476
"california","tuolumne",61471
"california","ventura",1158439
"california","yolo",562510
