CL,"-34.9833,-71.2333"
PT,"38.679,-9.1569"
US,"42.4163,-70.9969"
BR,"-21.8667,-51.8333"
RO,"44.4333,26.1"
DK,"55.6667,12.5833"
US,"40.8648,-73.8867"
VE,"10.5,-66.9167"
MY,"5.363,100.4667"
BO,"-12.2833,-66.25"
RO,"45.5081,21.1286"
CH,"47.0438,7.2736"
IT,"45.35,10.1333"
US,"30.5252,-84.3321"
US,"40.0063,-76.5904"
US,"41.758,-72.7444"
IN,"22.5697,88.3697"
CA,"45.2667,-66.0667"
US,"41.1723,-73.2014"
US,"25.8857,-80.3156"
IT,"45.6833,9.7167"
US,"40.3996,-104.8002"
US,"41.6654,-83.5811"
BE,"51.2167,4.4167"
BR,"-23.4733,-46.6658"
RO,"47.0667,21.9333"
FR,"50.6704,3.1338"
BR,"-20.3333,-47.7833"
US,"40.6805,-80.5948"
JP,"35.5206,139.7172"
RU,"52.7317,41.4433"
JP,"35.685,139.7514"
US,"32.5337,-95.8655"
JP,"35.4333,133.8167"
ES,"42.4227,-2.0774"
CL,"-33.045,-71.4494"
US,"37.354,-76.7467"
JP,"35.3261,139.4039"
US,"39.0554,-121.6743"
RS,"45.5714,19.6408"
JP,"36.0833,140.1167"
JP,"35.8955,139.6775"
JP,"38.2689,140.8719"
TR,"41.0186,28.9647"
US,"32.7736,-115.6022"
CA,"45.5,-73.5833"
AR,"-34.9215,-57.9545"
US,"40.8006,-73.9653"
US,"40.5714,-74.9725"
US,"32.5418,-83.5902"
TW,"24.9869,121.3056"
US,"32.5418,-83.5902"
HU,"47.5,19.0833"
IR,"37.4315,47.7874"
US,"40.5678,-75.4828"
US,"41.1879,-73.8315"
PT,"41.1496,-8.611"
IN,"18.975,72.8258"
AR,"-34.5875,-58.6725"
US,"31.6626,-96.4935"
CL,"-33.45,-70.6667"
CA,"51.0833,-114.0833"
IN,"18.975,72.8258"
TR,"41.0186,28.9647"
US,"41.0399,-81.4802"
TR,"37.9158,40.2189"
VE,"10.5,-66.9167"
US,"39.1111,-94.6904"
RO,"44.1167,24.35"
RO,"44.1167,24.35"
RO,"46.5667,26.9"
JP,"35.685,139.7514"
BR,"-21.1333,-48.9667"
IN,"15.15,76.9333"
RO,"47.2,23.05"
VE,"8.6292,-70.2072"
IL,"32.2849,34.9811"
CA,"45.6333,-72.9333"
IT,"44.8,10.3333"
US,"43.2166,-78.0584"
CO,"4.6492,-74.0628"
RO,"46.35,25.8"
US,"40.1083,-83.144"
PL,"50.0783,19.2253"
CA,"45.3833,-72.7333"
SE,"59.5167,17.25"
US,"33.6813,-116.9593"
US,"33.9129,-118.3439"
CA,"45.1833,-73.4"
RO,"46.7667,24.7"
PY,"-25.2667,-57.6667"
US,"41.4789,-81.6473"
PK,"30.0,70.0"
US,"34.9008,-76.8262"
RU,"55.7522,37.6156"
CA,"49.8833,-97.1667"
DE,"51.9333,8.8833"
IT,"44.4833,11.3333"
US,"37.7159,-82.2369"
US,"47.5907,-122.6655"
RU,"59.8944,30.2642"
TR,"39.9117,32.8403"
CA,"45.4833,-75.65"
TR,"41.0186,28.9647"
AR,"-36.25,-61.1"
DE,"49.8706,8.6494"
US,"34.9008,-76.8262"
US,"38.2166,-91.1309"
BR,"-21.9333,-50.5"
CA,"45.5,-73.5833"
AR,"-37.3217,-59.1332"
CA,"45.9,-74.1667"
US,"31.2889,-89.3427"
AR,"-38.7196,-62.2724"
CA,"52.65,-105.7333"
AR,"-34.6,-58.4167"
CL,"-33.45,-70.6667"
US,"41.5998,-70.5631"
RO,"44.4333,26.1"
ES,"40.0,-4.0"
TR,"39.9117,32.8403"
US,"32.7208,-117.0931"
US,"41.0484,-76.0019"
US,"45.6676,-122.6063"
BR,"-10.0,-55.0"
US,"41.6972,-81.1974"
RO,"45.1333,24.6833"
BA,"43.85,18.3833"
PL,"51.2101,16.1619"
SA,"26.3032,50.1353"
US,"35.2772,-87.4126"
US,"41.389,-81.5368"
JP,"35.4167,136.8667"
IR,"34.3142,47.065"
CL,"-33.45,-70.6667"
JP,"35.6931,139.9833"
US,"41.9843,-87.6635"
IT,"41.9,12.4833"
BR,"-22.4241,-42.968"
AR,"-34.4899,-58.5111"
DE,"52.5167,13.4"
TR,"39.9117,32.8403"
AR,"-34.5875,-58.6725"
JP,"35.685,139.7514"
IT,"44.5667,11.3667"
US,"26.26,-80.1917"
GR,"37.9614,23.6389"
BR,"-23.2795,-46.7464"
IN,"28.6667,77.2167"
DE,"52.5167,13.4"
HU,"47.5,19.0833"
CA,"46.6167,-70.9667"
JP,"34.6667,133.9167"
US,"40.6361,-75.3649"
US,"43.374,-124.1477"
CA,"60.0,-95.0"
CA,"45.2667,-66.0667"
US,"41.6972,-81.1974"
US,"39.3264,-76.7141"
IL,"32.0678,34.7647"
US,"34.8914,-85.1207"
IN,"13.0833,80.2833"
AU,"-33.8833,151.2167"
US,"43.0161,-86.1267"
CA,"45.4833,-75.65"
US,"32.9642,-94.9275"
IR,"30.3333,48.2667"
US,"39.8062,-86.1407"
BR,"-22.3833,-41.7833"
JP,"35.685,139.7514"
IL,"32.0678,34.7647"
US,"34.9364,-85.3101"
US,"37.6624,-121.8963"
JP,"35.685,139.7514"
JP,"35.7022,139.4756"
CA,"45.6333,-72.9333"
CA,"43.45,-80.5"
IN,"31.6331,74.8656"
VE,"10.5,-66.9167"
AR,"-27.4606,-58.9839"
US,"35.9726,-81.5513"
US,"39.7744,-86.1097"
US,"35.1427,-77.163"
GE,"42.0,43.5"
US,"31.9582,-110.693"
IT,"41.9,12.4833"
CA,"43.9,-78.6833"
US,"42.3056,-77.6315"
CL,"-33.45,-70.6667"
US,"43.0464,-87.9669"
IT,"46.0,11.2"
RO,"45.1333,25.7333"
GB,"53.7167,-0.3333"
DE,"51.0167,6.9833"
US,"36.0079,-80.3697"
US,"44.9198,-92.9438"
PK,"30.0,70.0"
US,"41.3617,-71.8024"
SI,"45.7925,15.1647"
US,"30.7458,-91.081"
