state,population,intUsers,bots
Alabama,4758191,3092273,952
Arizona,6665093,5230474,1022
Arkansas,2919815,1949869,408
California,37350092,29758896,3878
Colorado,5077553,4058749,512
Connecticut,3555261,3074229,536
Delaware,894424,719500,127
District of Columbia,605959,463503,82
Florida,18732783,14764418,3210
Georgia,9932505,7597608,1752
Idaho,1562046,1284500,108
Illinois,13046084,10243294,1662
Indiana,6490613,4770355,847
Iowa,3039465,2354728,475
Kansas,2848369,2248721,1392
Kentucky,4359450,2997542,632
Louisiana,4539283,3071973,984
Maine,1332155,1102933,219
Maryland,5759373,4737650,587
Massachusets,6662878,5745853,951
Michigan,10074498,7899843,1546
Minnesota,5321556,4370006,515
Mississippi,2983018,1769430,447
Missouri,6050503,4380156,818
Montana,985235,725139,157
Nebraska,1815500,1455917,276
Nevada,2670861,2137074,563
New Hampshire,1338495,1205558,173
New Jersey,8799248,7728426,1407
New Mexico,2030790,1380358,143
New York,19746813,16091772,3856
North Carolina,9479467,6809315,1983
North Dakota,653642,496207,91
Ohio,11663946,8949773,2581
Oklahoma,3725797,2530656,566
Oregon,3865861,3327971,419
Pennsylvania,12737230,9909482,1700
Rhode Island,1064277,861596,198
South Carolina,4609176,3086634,966
South Dakota,820920,598832,159
Tennessee,6362421,4638409,1002
Texas,25042738,17176661,3218
Utah,2813835,2465247,222
Vermont,628294,513123,53
Virginia,7965428,6193567,965
Washington,6734229,5772919,656
West Virginia,1838901,1296905,400
Wisconsin,5714200,4744417,852
Wyoming,549990,436437,93
