"","Zip","BotCount","MedianIncome","Population","IncomeRounded","PopulationRoundes"
"1",1001,1,56663,16445,60000,17000
"2",1010,1,75625,3340,80000,4000
"3",1013,1,36578,22907,40000,23000
"4",1022,1,50440,2124,60000,3000
"5",1035,1,69911,4801,70000,5000
"6",1056,1,63318,21205,70000,22000
"7",1083,1,55030,2887,60000,3000
"8",1108,1,37411,26060,40000,27000
"9",1118,1,55853,14283,60000,15000
"10",1128,1,63177,3040,70000,4000
"11",1129,1,58704,6982,60000,7000
"12",1220,1,38379,8947,40000,9000
"13",1301,1,47833,18444,50000,19000
"14",1331,1,49110,12856,50000,13000
"15",1354,1,57550,1367,60000,2000
"16",1373,1,61438,4618,70000,5000
"17",1501,1,70683,15923,80000,16000
"18",1507,1,86561,11274,90000,12000
"19",1510,1,57957,13261,60000,14000
"20",1519,1,105605,6128,110000,7000
"21",1523,1,80938,7102,90000,8000
"22",1524,1,74316,6356,80000,7000
"23",1550,1,48195,17217,50000,18000
"24",1562,1,65184,11681,70000,12000
"25",1569,1,80536,11080,90000,12000
"26",1581,1,101876,17899,110000,18000
"27",1590,1,104730,8247,110000,9000
"28",1605,1,41023,24799,50000,25000
"29",1701,1,92018,31114,1e+05,32000
"30",1730,1,107033,12547,110000,13000
"31",1742,1,119902,17075,120000,18000
"32",1776,1,152789,16826,160000,17000
"33",1803,1,90659,22954,1e+05,23000
"34",1810,1,113874,31228,120000,32000
"35",1821,1,87745,29306,90000,30000
"36",1830,1,63388,24320,70000,25000
"37",1832,1,57959,21246,60000,22000
"38",1835,1,76253,13426,80000,14000
"39",1841,1,34128,44474,40000,45000
"40",1851,1,51795,29549,60000,30000
"41",1867,1,103358,23657,110000,24000
"42",1887,1,97107,21279,1e+05,22000
"43",1904,1,69263,17916,70000,18000
"44",1949,1,87728,7748,90000,8000
"45",2026,1,85131,23478,90000,24000
"46",2038,1,92042,29553,1e+05,30000
"47",2081,1,92954,18430,1e+05,19000
"48",2116,1,80153,19480,90000,20000
"49",2132,1,76802,25943,80000,26000
"50",2134,1,33863,19641,40000,20000
"51",2144,1,68004,24248,70000,25000
"52",2148,1,55890,56273,60000,57000
"53",2149,1,49696,38109,50000,39000
"54",2150,1,40344,34956,50000,35000
"55",2184,1,77129,33731,80000,34000
"56",2191,1,68143,8916,70000,9000
"57",2324,1,80879,22922,90000,23000
"58",2346,1,72466,19926,80000,20000
"59",2420,1,139453,14109,140000,15000
"60",2446,1,67338,24351,70000,25000
"61",2460,1,107495,8772,110000,9000
"62",2472,1,74968,32913,80000,33000
"63",2476,1,83975,16533,90000,17000
"64",2478,1,95269,24296,1e+05,25000
"65",2481,1,173681,14503,180000,15000
"66",2492,1,118211,20064,120000,21000
"67",2532,1,60257,11275,70000,12000
"68",2542,1,39803,1588,40000,2000
"69",2554,1,61502,6889,70000,7000
"70",2561,1,68597,481,70000,1000
"71",2563,1,84184,10346,90000,11000
"72",2568,1,516,31,10000,1000
"73",2631,1,58280,9796,60000,10000
"74",2645,1,55137,9578,60000,10000
"75",2649,1,62993,12960,70000,13000
"76",2653,1,57062,6359,60000,7000
"77",2660,1,52611,6546,60000,7000
"78",2720,1,47794,31309,50000,32000
"79",2738,1,101006,5118,110000,6000
"80",2760,1,79274,25526,80000,26000
"81",2766,1,77953,17869,80000,18000
"82",2780,1,53796,49469,60000,50000
"83",2804,1,71104,2574,80000,3000
"84",2808,1,73725,2279,80000,3000
"85",2830,1,65423,5806,70000,6000
"86",2864,1,73450,31834,80000,32000
"87",2879,1,70848,19172,80000,20000
"88",2881,1,47075,6387,50000,7000
"89",2888,1,58509,20650,60000,21000
"90",2889,1,60122,29615,70000,30000
"91",2896,1,79213,10549,80000,11000
"92",2910,1,58287,20959,60000,21000
"93",3054,1,92954,25094,1e+05,26000
"94",3070,1,86118,4097,90000,5000
"95",3076,1,93085,10913,1e+05,11000
"96",3079,1,68841,28011,70000,29000
"97",3102,1,50355,30331,60000,31000
"98",3222,1,47954,5020,50000,6000
"99",3224,1,78500,1947,80000,2000
"100",3281,1,78480,7775,80000,8000
"101",3301,1,52876,31800,60000,32000
"102",3443,1,79400,695,80000,1000
"103",3458,1,70275,6274,80000,7000
"104",3574,1,58082,2201,60000,3000
"105",3593,1,60741,338,70000,1000
"106",3782,1,59775,2823,60000,3000
"107",3813,1,46708,2530,50000,3000
"108",3814,1,44967,2265,50000,3000
"109",3818,1,49733,3309,50000,4000
"110",3824,1,60676,12659,70000,13000
"111",3825,1,74102,7375,80000,8000
"112",3848,1,69792,5863,70000,6000
"113",3851,1,58382,3378,60000,4000
"114",3878,1,52254,11539,60000,12000
"115",3882,1,45728,1273,50000,2000
"116",3886,1,51872,1854,60000,2000
"117",3894,1,55652,6116,60000,7000
"118",3911,1,57101,341,60000,1000
"119",4021,1,85168,5589,90000,6000
"120",4038,1,70795,14169,80000,15000
"121",4039,1,67751,6428,70000,7000
"122",4043,1,73978,10482,80000,11000
"123",4055,1,52824,3200,60000,4000
"124",4064,1,40589,8455,50000,9000
"125",4074,1,77285,16813,80000,17000
"126",4084,1,70905,7754,80000,8000
"127",4096,1,77652,8357,80000,9000
"128",4210,1,42117,23191,50000,24000
"129",4224,1,41466,2960,50000,3000
"130",4268,1,38853,4613,40000,5000
"131",4276,1,31579,6472,40000,7000
"132",4280,1,51911,5803,60000,6000
"133",4346,1,49682,1910,50000,2000
"134",4444,1,80066,7727,90000,8000
"135",4462,1,35908,5559,40000,6000
"136",4732,1,35849,1863,40000,2000
"137",4766,1,35676,434,40000,1000
"138",4841,1,30461,7607,40000,8000
"139",4843,1,44251,5256,50000,6000
"140",4917,1,56379,2528,60000,3000
"141",4937,1,46685,6477,50000,7000
"142",4938,1,38553,9200,40000,10000
"143",4957,1,42009,4135,50000,5000
"144",4967,1,40015,4252,50000,5000
"145",5061,1,49230,1679,50000,2000
"146",5155,1,49285,828,50000,1000
"147",5403,1,72279,17593,80000,18000
"148",5452,1,72871,19710,80000,20000
"149",5735,1,44078,4402,50000,5000
"150",6002,1,72180,20486,80000,21000
"151",6010,1,59700,60448,60000,61000
"152",6016,1,68764,6226,70000,7000
"153",6019,1,84996,10129,90000,11000
"154",6032,1,90956,17675,1e+05,18000
"155",6033,1,103875,28762,110000,29000
"156",6037,1,88662,18565,90000,19000
"157",6057,1,80718,6707,90000,7000
"158",6062,1,64756,17715,70000,18000
"159",6078,1,88786,12413,90000,13000
"160",6111,1,68426,30562,70000,31000
"161",6120,1,17588,9668,20000,10000
"162",6237,1,85891,5492,90000,6000
"163",6238,1,87706,12428,90000,13000
"164",6239,1,56968,11183,60000,12000
"165",6250,1,75917,4821,80000,5000
"166",6260,1,53919,9510,60000,10000
"167",6355,1,73348,12985,80000,13000
"168",6371,1,70734,7546,80000,8000
"169",6405,1,73114,27860,80000,28000
"170",6413,1,75328,13235,80000,14000
"171",6426,1,87480,3245,90000,4000
"172",6473,1,82993,24388,90000,25000
"173",6480,1,87894,9508,90000,10000
"174",6492,1,73757,45241,80000,46000
"175",6524,1,113720,5563,120000,6000
"176",6608,1,27565,13671,30000,14000
"177",6615,1,56700,18453,60000,19000
"178",6710,1,40176,10715,50000,11000
"179",6712,1,86948,9376,90000,10000
"180",6716,1,79520,16680,80000,17000
"181",6751,1,82899,3577,90000,4000
"182",6754,1,84760,1699,90000,2000
"183",6804,1,111156,16466,120000,17000
"184",6830,1,137453,24027,140000,25000
"185",7006,1,108792,26231,110000,27000
"186",7012,1,65757,11283,70000,12000
"187",7016,1,104055,22578,110000,23000
"188",7020,1,83530,7829,90000,8000
"189",7022,1,44907,13255,50000,14000
"190",7044,1,92257,13567,1e+05,14000
"191",7066,1,82573,14598,90000,15000
"192",7070,1,87017,18111,90000,19000
"193",7073,1,63991,8716,70000,9000
"194",7076,1,119551,22720,120000,23000
"195",7090,1,132953,29646,140000,30000
"196",7092,1,116150,6643,120000,7000
"197",7094,1,81119,15931,90000,16000
"198",7107,1,32831,35992,40000,36000
"199",7108,1,29834,25006,30000,26000
"200",7112,1,39987,27039,40000,28000
"201",7204,1,64822,13281,70000,14000
"202",7205,1,56931,21736,60000,22000
"203",7305,1,54392,58533,60000,59000
"204",7405,1,110552,16725,120000,17000
"205",7419,1,75821,6831,80000,7000
"206",7420,1,8909,515,10000,1000
"207",7421,1,89212,7751,90000,8000
"208",7436,1,112126,12465,120000,13000
"209",7506,1,73102,18153,80000,19000
"210",7522,1,32050,20482,40000,21000
"211",7604,1,89150,11662,90000,12000
"212",7624,1,114696,8382,120000,9000
"213",7628,1,83132,17474,90000,18000
"214",7630,1,99292,7145,1e+05,8000
"215",7642,1,115878,10056,120000,11000
"216",7648,1,102117,5757,110000,6000
"217",7661,1,97645,10946,1e+05,11000
"218",7733,1,144078,15749,150000,16000
"219",7734,1,49908,14146,50000,15000
"220",7735,1,63381,20714,70000,21000
"221",7737,1,77200,4287,80000,5000
"222",7748,1,101680,28419,110000,29000
"223",7828,1,84118,12833,90000,13000
"224",7849,1,86575,7429,90000,8000
"225",7850,1,80253,7052,90000,8000
"226",7857,1,59641,2982,60000,3000
"227",7866,1,96674,21610,1e+05,22000
"228",7871,1,114439,19259,120000,20000
"229",7882,1,74644,14228,80000,15000
"230",7921,1,88515,7864,90000,8000
"231",7928,1,134723,18148,140000,19000
"232",7936,1,108919,11388,110000,12000
"233",7940,1,108845,16643,110000,17000
"234",7945,1,137647,9419,140000,10000
